manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes
Casio,CT-S300,General,Bank select,,0,,0,127,,,,,0-based,
Casio,CT-S300,General,Modulation,,1,,0,127,,,,,0-based,
Casio,CT-S300,General,Portamento time,,5,,0,127,,,,,0-based,
Casio,CT-S300,General,Data entry LSB/MSB,,6,,0,127,,,,,0-based,
Casio,CT-S300,General,Data entry LSB/MSB,,38,,0,127,,,,,0-based,
Casio,CT-S300,General,Volume,,7,,0,127,,,,,0-based,
Casio,CT-S300,General,Pan,,10,,0,127,,,,,0-based,
Casio,CT-S300,General,Expression,,11,,0,127,,,,,0-based,
Casio,CT-S300,General,Hold 1,,64,,0,127,,,,,0-based,
Casio,CT-S300,General,Portamento switch,,65,,0,127,,,,,0-based,
Casio,CT-S300,General,Sostenuto,,66,,0,127,,,,,0-based,
Casio,CT-S300,General,Soft pedal,,67,,0,127,,,,,0-based,
Casio,CT-S300,Filter,Filter resonance,,71,,0,127,,,,,0-based,
Casio,CT-S300,Envelopes,Release time,,72,,0,127,,,,,0-based,
Casio,CT-S300,Envelopes,Attack time,,73,,0,127,,,,,0-based,
Casio,CT-S300,General,Brightness,,74,,0,127,,,,,0-based,
Casio,CT-S300,General,Portamento control,,84,,0,127,,,,,0-based,
Casio,CT-S300,FX,Reverb send level,,91,,0,127,,,,,0-based,
Casio,CT-S300,General,RPN LSB/MSB,,100,,0,127,,,,,0-based,
Casio,CT-S300,General,RPN LSB/MSB,,101,,0,127,,,,,0-based,
