section,Name,CC#,min,max,orientation,Notes
General,Mod wheel,1,0,127,0-based,
General,Breath control,2,0,127,0-based,
General,Foot control,4,0,127,0-based,
General,Glide rate,5,0,127,0-based,
General,Channel volume,7,0,127,0-based,
General,Pan,10,0,127,Centered,
General,Arpeggiator range,12,0,9,0-based,0: 1 octave; ... 9: 10 octaves
General,Arpeggiator length,13,0,15,0-based,0: 1 step; ... 15: 16 steps
General,Arpeggiator active,14,0,3,0-based,0: off; 1: on; 2: one shot; 3: hold
LFO,LFO 1 shape,15,0,5,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
LFO,LFO 1 speed,16,0,127,0-based,
LFO,LFO 1 sync,17,0,1,0-based,0: off; 1: on
LFO,LFO 1 delay,18,0,127,0-based,
LFO,LFO 2 shape,19,0,5,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
LFO,LFO 2 speed,20,0,127,0-based,
LFO,LFO 2 sync,21,0,1,0-based,0: off; 1: on
LFO,LFO 2 delay,22,0,127,0-based,
LFO,LFO 3 shape,23,0,5,0-based,0: sine; 1: triangle; 2: square; 3: sawtooth; 4: random; 5: S&H
LFO,LFO 3 speed,24,0,127,0-based,
LFO,LFO 3 sync,25,0,1,0-based,0: off; 1: on
LFO,LFO 3 delay,26,0,127,0-based,
Oscillators,OSC 1 octave,27,16,112,Centered,16: 128'; ... 112: 1/2'
Oscillators,OSC 1 semitone,28,52,76,Centered,52: -12; ... 76: +12
Oscillators,OSC 1 detune,29,0,127,Centered,
Oscillators,OSC 1 FM,30,0,127,0-based,
Oscillators,OSC 1 shape,31,0,5,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Oscillators,OSC 1 pulsewidth,33,0,127,0-based,
Oscillators,OSC 1 PWM,34,0,127,Centered,
Oscillators,OSC 2 octave,35,16,112,Centered,16: 128'; ... 112: 1/2'
Oscillators,OSC 2 semitone,36,52,76,Centered,52: -12; ... 76: +12
Oscillators,OSC 2 detune,37,0,127,0-based,
Oscillators,OSC 2 FM,38,0,127,0-based,
Oscillators,OSC 2 shape,39,0,5,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Oscillators,OSC 2 pulsewidth,40,0,127,0-based,
Oscillators,OSC 2 PWM,41,0,127,0-based,
Oscillators,OSC 3 octave,42,16,112,Centered,16: 128'; ... 112: 1/2'
Oscillators,OSC 3 semitone,43,52,76,Centered,52: -12; ... 76: +12
Oscillators,OSC 3 detune,44,0,127,Centered,
Oscillators,OSC 3 FM,45,0,127,0-based,
Oscillators,OSC 3 shape,46,0,5,0-based,0: pulse; 1: saw; 2: triangle; 3: sine; 4: alt 1; 5: alt 2
Oscillators,OSC 3 pulsewidth,47,0,127,0-based,
Oscillators,OSC 3 PWM,48,0,127,Centered,
Oscillators,Sync,49,0,1,0-based,0: off; 1: on
General,Pitchmod,50,0,127,Centered,
General,Glide mode,51,0,9,0-based,
Mix,OSC 1 level,52,0,127,0-based,
Mix,OSC 1 balance,53,0,127,Centered,
Mix,Ringmod level,54,0,127,0-based,
